iter	Passed	Remaining
678	10588	5005
679	10604	4990
680	10618	4974
681	10633	4958
682	10648	4942
683	10667	4928
684	10680	4911
685	10698	4896
686	10712	4880
687	10728	4865
688	10743	4849
689	10760	4834
690	10775	4818
691	10791	4802
692	10806	4787
693	10820	4771
694	10835	4755
695	10847	4738
696	10862	4722
697	10879	4707
698	10896	4692
699	10911	4676
700	10928	4661
701	10942	4645
702	10958	4629
703	10974	4614
704	10991	4599
705	11005	4583
706	11020	4567
707	11035	4551
708	11048	4534
709	11064	4519
710	11076	4502
711	11094	4487
712	11106	4470
713	11123	4455
714	11139	4440
715	11155	4424
716	11170	4408
717	11188	4394
718	11202	4378
719	11218	4362
720	11232	4346
721	11244	4329
722	11260	4314
723	11273	4297
724	11293	4283
725	11309	4268
726	11326	4253
727	11338	4236
728	11353	4220
729	11368	4204
730	11385	4189
731	11402	4174
732	11418	4159
733	11433	4143
734	11448	4127
735	11462	4111
736	11477	4095
737	11493	4080
738	11506	4063
739	11523	4048
740	11538	4033
741	11555	4017
742	11568	4001
743	11584	3986
744	11600	3970
745	11616	3955
746	11631	3939
747	11647	3923
748	11662	3908
749	11678	3892
750	11695	3877
751	11712	3862
752	11728	3847
753	11745	3832
754	11761	3816
755	11776	3801
756	11793	3785
757	11808	3770
758	11823	3754
759	11836	3737
760	11852	3722
761	11864	3705
762	11881	3690
763	11897	3675
764	11918	3661
765	11931	3644
766	11947	3629
767	11962	3613
768	11980	3598
769	11994	3582
770	12010	3567
771	12026	3551
772	12042	3536
773	12057	3520
774	12073	3505
775	12088	3489
776	12125	3480
777	12153	3468
778	12181	3455
779	12206	3442
780	12233	3430
781	12253	3415
782	12272	3401
783	12288	3385
784	12304	3370
785	12317	3353
786	12334	3338
787	12353	3323
788	12369	3308
789	12383	3291
790	12398	3276
791	12413	3260
792	12429	3244
793	12445	3228
794	12461	3213
795	12477	3197
796	12494	3182
797	12509	3166
798	12525	3150
799	12541	3135
800	12560	3120
801	12576	3104
802	12591	3089
803	12607	3073
804	12623	3057
805	12639	3042
806	12654	3026
807	12668	3010
808	12682	2994
809	12698	2978
810	12710	2962
811	12727	2946
812	12741	2930
813	12758	2915
814	12774	2899
815	12790	2884
816	12805	2868
817	12821	2852
818	12835	2836
819	12847	2820
820	12863	2804
821	12877	2788
822	12891	2772
823	12905	2756
824	12920	2740
825	12935	2725
826	12951	2709
827	12966	2693
828	12983	2678
829	12997	2662
830	13008	2645
831	13024	2629
832	13039	2614
833	13054	2598
834	13069	2582
835	13086	2567
836	13101	2551
837	13117	2535
838	13132	2520
839	13147	2504
840	13162	2488
841	13176	2472
842	13193	2457
843	13204	2440
844	13220	2425
845	13235	2409
846	13252	2393
847	13267	2378
848	13284	2362
849	13300	2347
850	13315	2331
851	13331	2315
852	13346	2300
853	13360	2284
854	13371	2267
855	13387	2252
856	13403	2236
857	13422	2221
858	13435	2205
859	13454	2190
860	13467	2174
861	13484	2158
862	13498	2142
863	13515	2127
864	13529	2111
865	13545	2096
866	13561	2080
867	13575	2064
868	13588	2048
869	13599	2032
870	13617	2016
871	13631	2000
872	13648	1985
873	13663	1969
874	13676	1953
875	13691	1938
876	13706	1922
877	13721	1906
878	13734	1890
879	13745	1874
880	13761	1858
881	13775	1842
882	13790	1827
883	13806	1811
884	13823	1796
885	13838	1780
886	13851	1764
887	13866	1748
888	13878	1732
889	13892	1717
890	13908	1701
891	13922	1685
892	13938	1670
893	13952	1654
894	13965	1638
895	13977	1622
896	13992	1606
897	14009	1591
898	14023	1575
899	14039	1559
900	14054	1544
901	14068	1528
902	14080	1512
903	14092	1496
904	14108	1480
905	14121	1465
906	14136	1449
907	14151	1433
908	14165	1418
909	14179	1402
910	14190	1386
911	14206	1370
912	14220	1355
913	14236	1339
914	14253	1324
915	14269	1308
916	14284	1292
917	14300	1277
918	14315	1261
919	14328	1245
920	14344	1230
921	14360	1214
922	14377	1199
923	14389	1183
924	14409	1168
925	14422	1152
926	14442	1137
927	14454	1121
928	14474	1106
929	14487	1090
930	14504	1074
931	14518	1059
932	14534	1043
933	14549	1028
934	14565	1012
935	14580	996
936	14596	981
937	14609	965
938	14624	950
939	14641	934
940	14651	918
941	14669	903
942	14687	887
943	14703	872
944	14716	856
945	14732	840
946	14747	825
947	14763	809
948	14778	794
949	14794	778
950	14810	763
951	14826	747
952	14842	732
953	14858	716
954	14873	700
955	14885	685
956	14901	669
957	14913	653
958	14929	638
959	14945	622
960	14960	607
961	14976	591
962	14993	576
963	15008	560
964	15025	544
965	15041	529
966	15055	513
967	15071	498
968	15083	482
969	15101	467
970	15113	451
971	15127	435
972	15142	420
973	15157	404
974	15172	389
975	15188	373
976	15205	357
977	15221	342
978	15237	326
979	15252	311
980	15266	295
981	15280	280
982	15296	264
983	15312	248
984	15326	233
985	15340	217
986	15356	202
987	15370	186
988	15384	171
989	15398	155
990	15411	139
991	15427	124
992	15440	108
993	15456	93
994	15470	77
995	15485	62
996	15500	46
997	15516	31
998	15530	15
999	15543	0
